D:\Desktop\TheDog\Boss\pre_legb.png,354.000000,373.000000,397.999845,407.086915,2,1.047245,59.990860,-60.000000,395.999885,535.029405,68.029405,1.000000,269.000000
D:\Desktop\TheDog\Boss\footb.png,329.000000,643.000000,397.116982,652.998065,None,1.046752,19.972589,-20.000000,396.000000,672.000000,0.000000,0.000000,267.000000
D:\Desktop\TheDog\Boss\legb.png,369.000000,509.000000,395.999885,535.029405,1,-0.942339,53.991777,-54.000000,397.116982,652.998065,64.007812,360.000000,271.000000
D:\Desktop\TheDog\Boss\handb.png,448.000000,253.000000,465.651799,289.006320,5,-45.301157,-7.987813,-46.000000,560.751495,269.283098,52.086467,3.000000,10.000000
D:\Desktop\TheDog\Boss\pre_handb.png,370.000000,221.000000,395.731570,250.039595,3,-35.859367,19.877269,-41.000000,465.651799,289.006320,40.012498,359.000000,331.000000
D:\Desktop\TheDog\Boss\armb.png,552.000000,249.000000,560.751495,269.283098,None,-21.969850,-1.151391,-22.000000,582.000000,268.000000,0.000000,0.000000,3.000000
D:\Desktop\TheDog\Boss\connect.png,364.000000,142.000000,389.485209,193.231784,9,0.383916,-21.996650,22.000000,402.230056,142.628084,31.304952,154.000000,271.000000
D:\Desktop\TheDog\Boss\pre_leg.png,356.000000,372.000000,397.999845,407.086915,11,-2.093868,59.963453,-60.000000,403.560268,534.936179,68.029405,1.000000,272.000000
D:\Desktop\TheDog\Boss\body.png,337.000000,180.000000,398.000000,315.000000,None,0.000000,-0.000000,0.000000,398.000000,315.000000,0.000000,0.000000,272.000000
D:\Desktop\TheDog\Boss\head.png,349.000000,82.000000,402.230056,142.628084,None,-5.996345,-0.209397,-6.000000,408.000000,142.000000,0.000000,0.000000,2.000000
D:\Desktop\TheDog\Boss\foot.png,319.000000,642.000000,387.091731,651.384878,None,1.046752,19.972589,-20.000000,386.000000,671.000000,0.000000,0.000000,267.000000
D:\Desktop\TheDog\Boss\leg.png,360.000000,506.000000,403.560268,534.936179,10,7.515435,53.474463,-54.000000,387.091731,651.384878,64.007812,360.000000,262.000000
D:\Desktop\TheDog\Boss\hand.png,368.000000,311.000000,382.051839,329.404607,14,-46.000000,-0.000000,-46.000000,480.015084,326.274006,52.086467,3.000000,0.000000
D:\Desktop\TheDog\Boss\pre_hand.png,358.000000,230.000000,395.731570,250.039595,12,6.413879,40.495212,-41.000000,382.051839,329.404607,40.012498,359.000000,261.000000
D:\Desktop\TheDog\Boss\arm.png,462.000000,279.000000,480.015084,326.274006,None,-16.852981,-14.141323,-22.000000,496.000000,312.000000,0.000000,0.000000,40.000000
